url,namn,annat_namn,kategori,muggnummer,tillverkad,tema,varumarke,designer,vikt,volym,material,bildfil
https://www.mukify.com/sv/arabia-muminmugg-mumintrollet-2019,Mumintrollet,Mumintrollet gräsgrön,Muminmugg,89,2019–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-mumintrollet-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-latt-snofall-2018,Lätt snöfall,,Muminmugg,88,2018,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-latt-snofall-2018.jpg
https://www.mukify.com/sv/arabia-muminmugg-mumindagen-2018,Mumindagen,,Muminmugg,87,2018,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-mumindagen-2018.jpg
https://www.mukify.com/sv/arabia-muminmugg-vanskap-2018,Vänskap,,Muminmugg,86,2018–,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-vanskap-2018.jpg
https://www.mukify.com/sv/arabia-muminmugg-vi-aker-pa-semester-2018,Vi åker på semester,,Muminmugg,85,2018,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-vi-aker-pa-semester-2018.jpg
https://www.mukify.com/sv/arabia-muminmugg-trollkarlen-2018,Trollkarlen,,Muminmugg,84,2018–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-trollkarlen-2018.jpg
https://www.mukify.com/sv/arabia-muminmugg-tofslan-och-vifslan-2018,Tofslan och Vifslan,,Muminmugg,83,2018–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-tofslan-och-vifslan-2018.jpg
https://www.mukify.com/sv/arabia-muminmugg-varvinter-2017,Vårvinter,,Muminmugg,82,2017,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-varvinter-2017.jpg
https://www.mukify.com/sv/arabia-muminmugg-trogen-sitt-ursprung-2017,Trogen sitt ursprung,,Muminmugg,81,2017–,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-trogen-sitt-ursprung-2017.jpg
https://www.mukify.com/sv/arabia-muminmugg-mumindalen-2017,Mumindalen,,Muminmugg,80,2017,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-mumindalen-2017.jpg
https://www.mukify.com/sv/arabia-muminmugg-sommarteatern-2017,Sommarteatern,,Muminmugg,79,2017,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-sommarteatern-2017.jpg
https://www.mukify.com/sv/arabia-muminmugg-snohasten-2016,Snöhästen,,Muminmugg,78,2016,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snohasten-2016.jpg
https://www.mukify.com/sv/arabia-muminmugg-midsommar-2016,Midsommar,,Muminmugg,77,2016,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-midsommar-2016.jpg
https://www.mukify.com/sv/arabia-muminmugg-forfadern-2016,Förfadern,,Muminmugg,76,2016–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-forfadern-2016.jpg
https://www.mukify.com/sv/arabia-muminmugg-too-ticki-2016,Too-ticki,,Muminmugg,75,2016–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-too-ticki-2016.jpg
https://www.mukify.com/sv/arabia-muminmugg-var-kust-2016,Vår kust,,Muminmugg,74,2016,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-var-kust-2016.jpg
https://www.mukify.com/sv/arabia-muminmugg-dvala-2015,Dvala,,Muminmugg,73,2015,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-dvala-2015.jpg
